Date,Delhi-petrol,Mumbai-petrol,Chennai-petrol,Kolkata-petrol,Delhi-diesel,Mumbai-diesel,Chennai-diesel,Kolkata-diesel
20/Jun/18,76.27,84.06,79.16,78.94,67.78,72.13,71.54,70.33
19/Jun/18,76.27,84.06,79.16,78.94,67.78,72.13,71.54,70.33
18/Jun/18,76.35,84.18,79.24,79.02,67.78,72.13,71.54,70.33
17/Jun/18,76.35,84.18,79.24,79.02,67.78,72.13,71.54,70.33
16/Jun/18,76.35,84.18,79.24,79.02,67.85,72.24,71.62,70.4
15/Jun/18,76.35,84.18,79.24,79.02,67.85,72.24,71.62,70.4
14/Jun/18,76.43,84.26,79.33,79.1,67.85,72.24,71.62,70.4
13/Jun/18,76.43,84.26,79.33,79.1,67.85,72.24,71.62,70.4
12/Jun/18,76.43,84.26,79.33,79.1,67.85,72.24,71.62,70.4
11/Jun/18,76.58,84.41,79.48,79.25,67.95,72.35,71.73,70.5
10/Jun/18,76.78,84.61,79.69,79.44,68.1,72.51,71.89,70.65
09/Jun/18,77.02,84.84,79.95,79.68,68.28,72.7,72.08,70.83
08/Jun/18,77.42,85.24,80.37,80.07,68.58,73.02,72.4,71.13
07/Jun/18,77.63,85.45,80.59,80.28,68.73,73.17,72.56,71.28
06/Jun/18,77.72,85.54,80.68,80.37,68.8,73.25,72.64,71.35
05/Jun/18,77.83,85.65,80.8,80.47,68.88,73.33,72.72,71.43
04/Jun/18,77.96,85.77,80.94,80.6,68.97,73.43,72.82,71.52
03/Jun/18,78.11,85.92,81.09,80.75,69.11,73.58,72.97,71.66
02/Jun/18,78.2,86.01,81.19,80.84,69.11,73.58,72.97,71.66
01/Jun/18,78.29,86.1,81.28,80.92,69.2,73.67,73.06,71.75
31/May/18,78.35,86.16,81.35,80.98,69.25,73.73,73.12,71.8
30/May/18,78.42,86.23,81.42,81.05,69.3,73.78,73.17,71.85
29/May/18,78.43,86.24,81.43,81.06,69.31,73.79,73.18,71.86
28/May/18,78.27,86.08,81.26,80.91,69.17,73.64,73.03,71.72
27/May/18,78.12,85.93,81.11,80.76,69.06,73.53,72.91,71.61
26/May/18,77.97,85.78,80.95,80.61,68.9,73.36,72.74,71.45
25/May/18,77.83,85.65,80.8,80.47,68.75,73.2,72.58,71.3
24/May/18,77.47,85.29,80.42,80.12,68.53,72.96,72.35,71.08
23/May/18,77.17,84.99,80.11,79.83,68.34,72.76,72.14,70.89
22/May/18,76.87,84.7,79.79,79.53,68.08,72.48,71.87,70.63
21/May/18,76.57,84.4,79.47,79.24,67.82,72.21,71.59,70.37
20/May/18,76.24,84.07,79.13,78.91,67.57,71.94,71.32,70.12
19/May/18,75.91,83.75,78.78,78.59,67.31,71.67,71.04,69.86
18/May/18,75.61,83.45,78.46,78.29,67.08,71.42,70.8,69.63
17/May/18,75.32,83.16,78.16,78.01,66.79,71.12,70.49,69.33
16/May/18,75.1,82.94,77.93,77.79,66.57,70.88,70.25,69.11
15/May/18,74.95,82.79,77.77,77.65,66.36,70.66,70.02,68.9
14/May/18,74.8,82.65,77.61,77.5,66.14,70.43,69.79,68.68
13/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
12/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
11/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
10/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
09/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
08/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
07/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
06/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
05/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
04/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
03/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
02/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
01/May/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
30/Apr/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
29/Apr/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
28/Apr/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
27/Apr/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
26/Apr/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
25/Apr/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
24/Apr/18,74.63,82.48,77.43,77.32,65.93,70.2,69.56,68.63
23/Apr/18,74.5,82.35,77.29,77.2,65.75,70.01,69.37,68.45
22/Apr/18,74.4,82.25,77.19,77.1,65.65,69.91,69.27,68.35
21/Apr/18,74.21,82.06,76.99,76.91,65.46,69.7,69.06,68.16
20/Apr/18,74.08,81.93,76.85,76.78,65.31,69.54,68.9,68.01
19/Apr/18,74.07,81.92,76.84,76.77,65.27,69.5,68.86,67.97
18/Apr/18,74.02,81.87,76.79,76.73,65.18,69.41,68.76,67.88
17/Apr/18,74.02,81.87,76.79,76.73,65.18,69.41,68.76,67.88
16/Apr/18,74.02,81.87,76.79,76.73,65.18,69.41,68.76,67.88
15/Apr/18,73.98,81.83,76.75,76.69,65.09,69.31,68.67,67.78
14/Apr/18,73.93,81.79,76.69,76.64,65.01,69.23,68.58,67.7
13/Apr/18,73.91,81.77,76.67,76.62,64.96,69.17,68.53,67.65
12/Apr/18,73.94,81.8,76.71,76.65,64.93,69.14,68.49,67.62
11/Apr/18,73.98,81.83,76.75,76.69,64.96,69.17,68.53,67.65
10/Apr/18,73.98,81.83,76.75,76.69,64.96,69.17,68.53,67.65
09/Apr/18,73.99,81.84,76.76,76.7,64.93,69.14,68.49,67.62
08/Apr/18,74.03,81.88,76.8,76.73,64.96,69.17,68.53,67.65
07/Apr/18,74,81.85,76.77,76.71,64.92,69.13,68.48,67.61
06/Apr/18,73.98,81.83,76.75,76.69,64.88,69.09,68.44,67.57
05/Apr/18,73.98,81.83,76.75,76.69,64.85,69.06,68.41,67.54
04/Apr/18,73.95,81.8,76.72,76.66,64.82,69.02,68.38,67.51
03/Apr/18,73.95,81.8,76.72,76.66,64.82,69.02,68.38,67.51
02/Apr/18,73.83,81.69,76.59,76.54,64.69,68.89,68.24,67.38
01/Apr/18,73.73,81.59,76.48,76.44,64.58,68.77,68.12,67.27
31/Mar/18,73.55,81.41,76.29,76.26,64.4,68.58,67.93,67.09
30/Mar/18,73.31,81.17,76.04,76.03,64.14,68.3,67.65,66.83
29/Mar/18,73.08,80.94,75.8,75.8,63.92,68.07,67.41,66.61
28/Mar/18,72.9,80.77,75.61,75.63,63.77,67.91,67.25,66.46
27/Mar/18,72.9,80.77,75.61,75.63,63.77,67.91,67.25,66.46
26/Mar/18,72.79,80.66,75.49,75.52,63.66,67.79,67.14,66.35
25/Mar/18,72.55,80.42,75.24,75.28,63.43,67.55,66.89,66.12
24/Mar/18,72.38,80.25,75.06,75.11,63.2,67.3,66.64,65.89
23/Mar/18,72.3,80.17,74.98,75.04,63.01,67.1,66.44,65.7
22/Mar/18,72.26,80.13,74.94,75,62.88,66.96,66.3,65.57
21/Mar/18,72.2,80.07,74.87,74.94,62.8,66.88,66.21,65.49
20/Mar/18,72.2,80.07,74.87,74.94,62.8,66.88,66.21,65.49
19/Mar/18,72.19,80.06,74.86,74.93,62.73,66.81,66.14,65.42
18/Mar/18,72.2,80.07,74.87,74.94,62.71,66.78,66.12,65.4
17/Mar/18,72.27,80.14,74.95,75.01,62.74,66.82,66.15,65.43
16/Mar/18,72.37,80.24,75.05,75.1,62.81,66.89,66.23,65.5
15/Mar/18,72.45,80.32,75.14,75.18,62.87,66.95,66.29,65.56
14/Mar/18,72.47,80.34,75.16,75.2,62.85,66.93,66.27,65.54
13/Mar/18,72.47,80.34,75.16,75.2,62.85,66.93,66.27,65.54
12/Mar/18,72.45,80.32,75.14,75.18,62.87,66.95,66.29,65.56
11/Mar/18,72.48,80.35,75.17,75.21,62.89,66.97,66.31,65.58
10/Mar/18,72.46,80.33,75.15,75.19,62.88,66.96,66.3,65.57
09/Mar/18,72.43,80.3,75.12,75.16,62.88,66.96,66.3,65.57
08/Mar/18,72.39,80.26,75.07,75.12,62.91,67,66.33,65.6
07/Mar/18,72.39,80.26,75.07,75.12,62.96,67.05,66.39,65.65
06/Mar/18,72.39,80.26,75.07,75.12,62.96,67.05,66.39,65.65
05/Mar/18,72.32,80.19,75,75.06,62.89,66.97,66.31,65.58
04/Mar/18,72.26,80.13,74.94,75,62.88,66.96,66.3,65.57
03/Mar/18,72,79.87,74.66,74.74,62.69,66.76,66.1,65.38
02/Mar/18,71.75,79.63,74.4,74.5,62.48,66.54,65.87,65.17
01/Mar/18,71.57,79.45,74.21,74.32,62.25,66.3,65.63,64.94
28/Feb/18,71.51,79.39,74.15,74.26,62.15,66.19,65.52,64.84
27/Feb/18,71.51,79.39,74.15,74.26,62.15,66.19,65.52,64.84
26/Feb/18,71.53,79.41,74.17,74.28,62.17,66.21,65.54,64.86
25/Feb/18,71.5,79.38,74.14,74.25,62.12,66.16,65.49,64.81
24/Feb/18,71.52,79.4,74.16,74.27,62.14,66.18,65.51,64.83
23/Feb/18,71.61,79.49,74.25,74.36,62.21,66.25,65.58,64.9
22/Feb/18,71.7,79.58,74.35,74.45,62.29,66.34,65.67,64.98
21/Feb/18,71.72,79.6,74.37,74.44,62.3,66.35,65.68,64.96
20/Feb/18,71.73,79.61,74.38,74.45,62.29,66.34,65.67,64.95
19/Feb/18,71.92,79.8,74.58,74.63,62.44,66.5,65.83,65.1
18/Feb/18,72.07,79.94,74.74,74.78,62.56,66.62,65.96,65.22
17/Feb/18,72.23,80.1,74.91,74.94,62.76,66.84,66.17,65.42
16/Feb/18,72.52,80.39,75.21,75.22,63.02,67.11,66.45,65.68
15/Feb/18,72.79,80.66,75.49,75.49,63.32,67.43,66.77,65.98
14/Feb/18,72.94,80.81,75.65,75.64,63.5,67.62,66.96,66.17
13/Feb/18,72.94,80.81,75.65,75.64,63.5,67.62,66.96,66.17
12/Feb/18,73.01,80.87,75.73,75.7,63.62,67.75,67.09,66.29
11/Feb/18,73.22,81.08,75.95,75.91,63.9,68.05,67.39,66.57
10/Feb/18,73.33,81.19,76.06,76.02,64.05,68.21,67.55,66.72
09/Feb/18,73.35,81.21,76.08,76.04,64.11,68.27,67.62,66.78
08/Feb/18,73.37,81.23,76.11,76.06,64.15,68.31,67.66,66.82
07/Feb/18,73.38,81.24,76.12,76.07,64.22,68.39,67.73,66.89
06/Feb/18,73.38,81.24,76.12,76.07,64.22,68.39,67.73,66.89
05/Feb/18,73.31,81.17,76.04,76,64.14,68.3,67.65,66.81
04/Feb/18,73.16,81.02,75.88,75.85,64.07,68.23,67.57,66.74
03/Feb/18,73.09,80.95,75.81,75.78,64.07,68.23,67.57,66.74
02/Feb/18,73.1,80.96,75.82,75.79,64.11,68.27,67.62,66.78
01/Feb/18,73.05,80.91,75.77,75.74,64.11,68.27,67.62,66.78
31/Jan/18,72.92,80.79,75.63,75.62,64,68.15,67.5,66.67
30/Jan/18,72.92,80.79,75.63,75.62,64,68.15,67.5,66.67
29/Jan/18,72.84,80.71,75.55,75.54,63.93,68.08,67.42,66.6
28/Jan/18,72.77,80.64,75.47,75.47,63.85,67.99,67.34,66.52
27/Jan/18,72.72,80.59,75.42,75.42,63.75,67.89,67.23,66.42
26/Jan/18,72.63,80.5,75.33,75.33,63.65,67.78,67.12,66.32
25/Jan/18,72.49,80.36,75.18,75.19,63.53,67.65,67,66.2
24/Jan/18,72.43,80.3,75.12,75.13,63.38,67.5,66.84,66.04
23/Jan/18,72.38,80.25,75.06,75.09,63.2,67.3,66.64,65.86
22/Jan/18,72.23,80.1,74.91,74.94,63.01,67.1,66.44,65.67
21/Jan/18,72.08,79.95,74.75,74.79,62.83,66.91,66.25,65.49
20/Jan/18,71.89,79.77,74.55,74.6,62.63,66.7,66.03,65.29
19/Jan/18,71.7,79.58,74.35,74.42,62.44,66.5,65.83,65.1
18/Jan/18,71.56,79.44,74.2,74.28,62.25,66.3,65.63,64.91
17/Jan/18,71.39,79.27,74.02,74.11,62.06,66.09,65.42,64.72
16/Jan/18,71.27,79.15,73.89,74,61.88,65.9,65.23,64.54
15/Jan/18,71.18,79.06,73.8,73.91,61.74,65.74,65.08,64.4
14/Jan/18,71.06,78.94,73.67,73.79,61.56,65.53,64.89,64.22
13/Jan/18,70.92,78.81,73.53,73.65,61.38,65.32,64.7,64.04
12/Jan/18,70.73,78.62,73.33,73.47,61.18,65.1,64.48,63.84
11/Jan/18,70.66,78.55,73.25,73.4,60.99,64.88,64.28,63.65
10/Jan/18,70.62,78.51,73.21,73.36,60.81,64.67,64.09,63.47
09/Jan/18,70.53,78.42,73.12,73.27,60.66,64.48,63.92,63.32
08/Jan/18,70.43,78.32,73.01,73.17,60.49,64.28,63.74,63.15
07/Jan/18,70.28,78.17,72.85,73.02,60.31,64.08,63.55,62.97
06/Jan/18,70.13,78.02,72.69,72.88,60.12,63.87,63.35,62.78
05/Jan/18,69.99,77.89,72.55,72.74,59.94,63.67,63.15,62.6
04/Jan/18,69.97,77.87,72.53,72.72,59.89,63.59,63.1,62.55
03/Jan/18,69.97,77.87,72.53,72.72,59.82,63.51,63.03,62.48
02/Jan/18,69.97,77.87,72.53,72.72,59.76,63.43,62.96,62.42
01/Jan/18,69.97,77.87,72.53,72.72,59.7,63.35,62.9,62.36
31/Dec/17,69.97,77.87,72.53,72.72,59.64,63.27,62.83,62.3
30/Dec/17,69.94,77.84,72.49,72.69,59.59,63.19,62.78,62.25
29/Dec/17,69.9,77.8,72.45,72.65,59.56,63.1,62.75,62.22
28/Dec/17,69.81,77.71,72.36,72.56,59.47,62.97,62.65,62.13
27/Dec/17,69.72,77.62,72.26,72.47,59.38,62.85,62.55,62.04
26/Dec/17,69.63,77.53,72.17,72.39,59.31,62.75,62.48,61.97
25/Dec/17,69.65,77.55,72.19,72.4,59.2,62.62,62.36,61.86
24/Dec/17,69.56,77.46,72.09,72.32,59.11,62.51,62.27,61.77
23/Dec/17,69.58,77.48,72.12,72.34,59.02,62.39,62.17,61.68
22/Dec/17,69.5,77.4,72.03,72.26,58.91,62.28,62.05,61.57
21/Dec/17,69.42,77.32,71.95,72.18,58.85,62.16,61.99,61.51
20/Dec/17,69.35,77.25,71.87,72.11,58.75,62.03,61.88,61.41
19/Dec/17,69.27,77.17,71.79,72.03,58.65,61.87,61.77,61.31
18/Dec/17,69.19,77.06,71.7,71.95,58.55,61.75,61.67,61.21
17/Dec/17,69.15,76.99,71.66,71.91,58.48,61.67,61.59,61.14
16/Dec/17,69.13,76.88,71.64,71.89,58.44,61.55,61.55,61.1
15/Dec/17,69.1,76.78,71.61,71.86,58.38,61.43,61.48,61.04
14/Dec/17,69.07,76.69,71.58,71.84,58.33,61.31,61.43,60.99
13/Dec/17,69.07,76.66,71.58,71.84,58.32,61.28,61.42,60.98
12/Dec/17,69.09,76.64,71.6,71.85,58.34,61.26,61.44,61
11/Dec/17,69.12,76.62,71.63,71.88,58.37,61.24,61.47,61.03
10/Dec/17,69.15,76.61,71.66,71.91,58.37,61.21,61.47,61.03
09/Dec/17,69.18,76.62,71.69,71.94,58.41,61.21,61.52,61.07
08/Dec/17,69.19,76.61,71.7,71.95,58.44,61.22,61.55,61.1
07/Dec/17,69.23,76.61,71.75,71.99,58.45,61.2,61.56,61.11
06/Dec/17,69.24,76.6,71.76,72,58.45,61.2,61.56,61.11
05/Dec/17,69.25,76.59,71.77,72.01,58.43,61.17,61.54,61.09
04/Dec/17,69.23,76.56,71.75,71.99,58.44,61.15,61.55,61.1
03/Dec/17,69.23,76.54,71.75,71.99,58.42,61.12,61.53,61.08
02/Dec/17,69.22,76.52,71.74,71.98,58.42,61.1,61.53,61.08
01/Dec/17,69.22,76.52,71.74,71.98,58.4,61.07,61.51,61.06
30/Nov/17,69.24,76.52,71.76,72,58.39,61.05,61.5,61.05
29/Nov/17,69.26,76.52,71.78,72.02,58.37,61.03,61.47,61.03
28/Nov/17,69.26,76.52,71.78,72.02,58.37,61.03,61.47,61.03
27/Nov/17,69.28,76.52,71.8,72.04,58.34,60.99,61.44,61
26/Nov/17,69.32,76.52,71.84,72.08,58.34,60.97,61.44,61
25/Nov/17,69.36,76.52,71.88,72.12,58.33,60.96,61.43,60.99
24/Nov/17,69.41,76.52,71.94,72.17,58.33,60.96,61.43,60.99
23/Nov/17,69.43,76.54,71.96,72.19,58.3,60.93,61.4,60.96
22/Nov/17,69.48,76.58,72.01,72.24,58.3,60.93,61.4,60.96
21/Nov/17,69.53,76.63,72.06,72.29,58.33,60.96,61.43,60.99
20/Nov/17,69.51,76.61,72.04,72.27,58.33,60.96,61.43,60.99
19/Nov/17,69.54,76.64,72.07,72.3,58.31,60.94,61.41,60.97
18/Nov/17,69.57,76.67,72.1,72.33,58.33,60.96,61.43,60.99
17/Nov/17,69.61,76.71,72.15,72.37,58.31,60.94,61.41,60.97
16/Nov/17,69.65,76.75,72.19,72.4,58.31,60.94,61.41,60.97
15/Nov/17,69.68,76.78,72.22,72.43,58.32,60.95,61.42,60.98
14/Nov/17,69.73,76.83,72.27,72.48,58.34,60.97,61.44,61
13/Nov/17,69.78,76.88,72.33,72.53,58.31,60.94,61.41,60.97
12/Nov/17,69.78,76.88,72.33,72.53,58.31,60.94,61.41,60.97
11/Nov/17,69.81,76.91,72.36,72.56,58.31,60.94,61.41,60.97
10/Nov/17,69.85,76.95,72.4,72.6,58.31,60.94,61.41,60.97
09/Nov/17,69.85,76.95,72.4,72.6,58.31,60.94,61.41,60.97
08/Nov/17,69.8,76.9,72.35,72.55,58.26,60.89,61.36,60.92
07/Nov/17,69.8,76.9,72.35,72.55,58.26,60.89,61.36,60.92
06/Nov/17,69.69,76.79,72.23,72.44,58.16,60.78,61.25,60.82
05/Nov/17,69.55,76.65,72.08,72.31,58.08,60.69,61.16,60.74
04/Nov/17,69.47,76.57,72,72.23,58.03,60.64,61.11,60.69
03/Nov/17,69.34,76.45,71.86,72.1,57.93,60.54,61,60.59
02/Nov/17,69.25,76.36,71.77,72.01,57.83,60.43,60.9,60.49
01/Nov/17,69.14,76.25,71.65,71.9,57.73,60.32,60.79,60.39
31/Oct/17,69.13,76.24,71.64,71.9,57.7,60.29,60.76,60.36
30/Oct/17,69.07,76.18,71.58,71.84,57.64,60.23,60.69,60.3
29/Oct/17,68.92,76.03,71.42,71.69,57.51,60.09,60.55,60.17
28/Oct/17,68.84,75.95,71.34,71.61,57.43,60,60.47,60.09
27/Oct/17,68.72,75.83,71.21,71.49,57.28,59.85,60.31,59.94
26/Oct/17,68.65,75.76,71.14,71.43,57.21,59.77,60.23,59.87
25/Oct/17,68.62,75.73,71.1,71.4,57.15,59.71,60.17,59.81
24/Oct/17,68.6,75.71,71.08,71.38,57.12,59.68,60.14,59.78
23/Oct/17,68.6,75.71,71.08,71.38,57.12,59.68,60.14,59.78
22/Oct/17,68.58,75.69,71.06,71.36,57.1,59.65,60.11,59.76
21/Oct/17,68.44,75.56,70.92,71.22,57.01,59.56,60.02,59.67
20/Oct/17,68.4,75.52,70.87,71.18,56.98,59.53,59.99,59.64
19/Oct/17,68.33,75.45,70.8,71.11,56.95,59.5,59.95,59.61
18/Oct/17,68.26,75.38,70.73,71.04,56.87,59.41,59.87,59.53
17/Oct/17,68.26,75.38,70.73,71.04,56.87,59.41,59.87,59.53
16/Oct/17,68.29,75.41,70.76,71.07,56.91,59.45,59.91,59.57
15/Oct/17,68.33,75.45,70.8,71.11,56.94,59.48,59.94,59.6
14/Oct/17,68.38,75.5,70.85,71.16,56.98,59.53,59.99,59.64
13/Oct/17,68.43,75.55,70.9,71.21,57.01,59.56,60.02,59.67
12/Oct/17,68.45,75.57,70.93,71.23,57.01,59.56,60.02,59.67
11/Oct/17,68.48,75.59,70.96,71.26,57.03,59.58,60.04,59.69
10/Oct/17,68.45,77.58,70.93,71.23,57,60.55,60.01,59.66
09/Oct/17,68.45,77.58,70.93,71.23,57,60.55,60.01,59.66
08/Oct/17,68.39,77.52,70.86,71.17,56.96,60.51,59.96,59.62
07/Oct/17,68.35,77.48,70.82,71.13,56.94,60.49,59.94,59.6
06/Oct/17,68.36,77.49,70.83,71.14,56.95,60.5,59.95,59.61
05/Oct/17,68.38,77.51,70.85,71.16,56.9,60.44,59.9,59.56
04/Oct/17,68.38,77.51,70.85,71.16,56.89,60.43,59.89,59.55
03/Oct/17,70.88,79.99,73.48,73.62,59.14,62.82,62.3,61.8
02/Oct/17,70.83,79.94,73.43,73.57,59.07,62.75,62.22,61.73
01/Oct/17,70.76,79.87,73.36,73.5,58.92,62.59,62.06,61.58
30/Sep/17,70.66,79.77,73.25,73.4,58.86,62.53,62,61.52
29/Sep/17,70.56,79.67,73.15,73.3,58.78,62.44,61.91,61.44
28/Sep/17,70.46,79.57,73.04,73.2,58.7,62.36,61.83,61.36
27/Sep/17,70.41,79.52,72.99,73.15,58.68,62.33,61.81,61.34
26/Sep/17,70.41,79.52,72.99,73.15,58.68,62.33,61.81,61.34
25/Sep/17,70.41,79.52,72.99,73.15,58.72,62.38,61.85,61.38
24/Sep/17,70.39,79.5,72.97,73.13,58.72,62.38,61.85,61.38
23/Sep/17,70.42,79.53,73,73.16,58.69,62.35,61.82,61.35
22/Sep/17,70.47,79.58,73.05,73.21,58.69,62.35,61.82,61.35
21/Sep/17,70.52,79.63,73.1,73.26,58.69,62.35,61.82,61.35
20/Sep/17,70.52,79.63,73.1,73.26,58.79,62.45,61.92,61.45
19/Sep/17,70.52,79.63,73.1,73.26,58.85,62.51,61.99,61.51
18/Sep/17,70.51,79.62,73.09,73.25,58.91,62.58,62.05,61.57
17/Sep/17,70.51,79.62,73.09,73.25,58.88,62.55,62.02,61.54
16/Sep/17,70.48,79.59,73.06,73.22,58.84,62.5,61.98,61.5
15/Sep/17,70.43,79.54,73.01,73.17,58.8,62.46,61.93,61.46
14/Sep/17,70.39,79.5,72.97,73.13,58.74,62.4,61.87,61.4
13/Sep/17,70.38,79.48,72.95,73.12,58.72,62.37,61.84,61.37
12/Sep/17,70.38,79.48,72.95,73.12,58.72,62.37,61.84,61.37
11/Sep/17,70.3,79.41,72.87,73.05,58.62,62.26,61.73,61.27
10/Sep/17,70.17,79.28,72.73,72.91,58.37,62,61.46,61.02
09/Sep/17,70.03,79.14,72.58,72.78,58.06,61.67,61.13,60.71
08/Sep/17,69.89,79,72.44,72.64,57.78,61.38,60.84,60.44
07/Sep/17,69.8,78.92,72.34,72.55,57.59,61.18,60.64,60.25
06/Sep/17,69.71,78.82,72.25,72.46,57.46,61.03,60.49,60.11
05/Sep/17,69.71,78.82,72.25,72.46,57.46,61.03,60.49,60.11
04/Sep/17,69.66,78.78,72.2,72.41,57.38,60.95,60.41,60.03
03/Sep/17,69.55,78.67,72.08,72.3,57.28,60.84,60.3,59.93
02/Sep/17,69.43,78.54,71.95,72.18,57.21,60.77,60.23,59.87
01/Sep/17,69.26,78.38,71.78,72.02,57.13,60.68,60.14,59.78
31/Aug/17,69.15,78.28,71.66,71.92,57.05,60.6,60.06,59.71
30/Aug/17,69.12,78.24,71.62,71.88,57.01,60.56,60.02,59.66
29/Aug/17,69.12,78.24,71.62,71.88,57.02,60.56,60.02,59.67
28/Aug/17,69.09,78.22,71.6,71.86,57.03,60.57,60.03,59.68
27/Aug/17,69.06,78.18,71.56,71.82,57.03,60.58,60.04,59.69
26/Aug/17,69.02,78.14,71.52,71.78,56.97,60.51,59.97,59.62
25/Aug/17,69.01,78.13,71.51,71.77,57.02,60.57,60.02,59.67
24/Aug/17,68.88,78,71.37,71.64,57.06,60.61,60.06,59.71
23/Aug/17,68.73,77.86,71.22,71.5,57.05,60.6,60.05,59.7
22/Aug/17,68.67,77.79,71.15,71.44,57.05,60.6,60.06,59.7
21/Aug/17,68.54,77.66,71.01,71.31,57.01,60.55,60.01,59.66
20/Aug/17,68.38,77.51,70.85,71.16,57.07,60.62,60.08,59.72
19/Aug/17,68.37,77.5,70.83,71.14,57.19,60.74,60.2,59.84
18/Aug/17,68.29,77.42,70.76,71.07,57.28,60.85,60.3,59.93
17/Aug/17,68.24,77.37,70.7,71.02,57.39,60.96,60.42,60.04
16/Aug/17,68.14,77.27,70.59,70.92,57.36,60.92,60.38,60.01
15/Aug/17,68.08,77.21,70.53,70.86,57.3,60.86,60.32,59.95
14/Aug/17,67.95,77.09,70.4,70.74,57.25,60.81,60.27,59.9
13/Aug/17,67.76,76.89,70.19,70.55,57.24,60.8,60.26,59.9
12/Aug/17,67.5,76.64,69.92,70.29,57.15,60.7,60.16,59.8
11/Aug/17,67.27,76.41,69.68,70.07,56.98,60.52,59.98,59.63
10/Aug/17,66.96,76.1,69.35,69.78,56.81,60.35,59.8,59.46
09/Aug/17,66.81,75.96,69.2,69.66,56.78,60.32,59.77,59.44
08/Aug/17,66.75,75.89,69.13,69.61,56.72,60.25,59.71,59.38
07/Aug/17,66.66,75.8,69.03,69.54,56.61,60.13,59.59,59.26
06/Aug/17,66.51,75.66,68.88,69.43,56.54,60.06,59.51,59.19
05/Aug/17,66.28,75.43,68.64,69.24,56.33,59.83,59.28,58.98
04/Aug/17,66,75.15,68.34,69.03,56.1,59.59,59.04,58.75
03/Aug/17,65.69,74.85,68.02,68.78,55.85,59.32,58.77,58.5
02/Aug/17,65.47,74.63,67.78,68.61,55.64,59.1,58.55,58.29
01/Aug/17,65.4,74.56,67.71,68.56,55.58,59.04,58.49,58.23
31/Jul/17,65.26,74.58,67.78,68.45,55.5,59.08,58.53,58.25
30/Jul/17,65,74.33,67.51,68.24,55.31,58.87,58.32,58.05
29/Jul/17,64.87,74.2,67.37,68.14,55.19,58.75,58.2,57.94
28/Jul/17,64.69,74.02,67.18,68,55.03,58.58,58.02,57.77
27/Jul/17,64.59,73.92,67.07,67.92,54.94,58.49,57.93,57.69
26/Jul/17,64.57,73.91,67.06,67.91,54.95,58.49,57.94,57.69
25/Jul/17,64.57,73.9,67.05,67.91,54.95,58.5,57.94,57.7
24/Jul/17,64.53,73.87,67.01,67.88,54.94,58.48,57.93,57.68
23/Jul/17,64.4,73.74,66.88,67.77,54.93,58.48,57.92,57.68
22/Jul/17,64.3,73.63,66.77,67.69,54.95,58.49,57.94,57.69
21/Jul/17,64.28,73.61,66.75,67.68,55.02,58.57,58.02,57.77
20/Jul/17,64.25,73.59,66.72,67.66,55.05,58.6,58.05,57.8
19/Jul/17,64.21,73.54,66.67,67.62,55.04,58.59,58.04,57.78
18/Jul/17,64.21,73.54,66.67,67.62,55.04,58.59,58.04,57.79
17/Jul/17,64.15,73.49,66.61,67.58,54.99,58.54,57.98,57.74
16/Jul/17,64.11,73.45,66.57,67.55,54.93,58.47,57.92,57.67
15/Jul/17,64.03,73.37,66.49,67.48,54.85,58.39,57.83,57.59
14/Jul/17,63.89,73.23,66.34,67.37,54.66,58.19,57.63,57.41
13/Jul/17,63.91,73.25,66.36,67.38,54.7,58.22,57.67,57.44
12/Jul/17,63.93,73.27,66.38,67.4,54.74,58.27,57.72,57.49
11/Jul/17,63.93,73.27,66.38,67.4,54.74,58.27,57.72,57.49
10/Jul/17,63.83,75.04,66.25,66.73,54.55,59.93,57.44,56.85
09/Jul/17,63.65,74.86,66.05,66.58,54.32,59.69,57.19,56.61
08/Jul/17,63.46,74.67,65.86,66.44,54.06,59.41,56.91,56.35
07/Jul/17,63.33,74.54,65.72,66.33,53.82,59.15,56.65,56.11
06/Jul/17,63.19,74.41,65.58,66.23,53.61,58.93,56.43,55.9
05/Jul/17,63.08,74.3,65.46,66.14,53.44,58.76,56.25,55.74
